ACCTID,ACCTTYPE,ACCTNAME,FIRSTNAME,SURNAME,DOB,ACCTCREATED,ACCTRISK,ADDRESS,ADDRESS_LAT,ADDRESS_LON,CATEGORY
800051,BUSINESS,Bautista Grocery,Raymond,Bautista,1983-05-08T00:00:00,2016-02-19T00:00:00,LOW,BRISBANE,-27.42489755,153.08212080432196,Grocery
800052,CREDIT,Crawford Grocery,Michelle,Crawford,1968-03-24T00:00:00,2017-07-01T00:00:00,LOW,BRISBANE,-27.4389008,152.9779828010591,Grocery
800053,BUSINESS,Beck Supermarket,Jorge,Beck,1991-07-03T00:00:00,2015-10-27T00:00:00,MEDIUM,BRISBANE,-27.473299480572642,152.9743904581542,Supermarket
800054,CREDIT,Christensen Supermarket,Brett,Christensen,1962-09-20T00:00:00,2019-03-11T00:00:00,LOW,BRISBANE,-27.4885297,153.079535,Supermarket
800055,BUSINESS,Baird Supermarket,Claudia,Baird,1968-04-09T00:00:00,2015-04-30T00:00:00,HIGH,BRISBANE,-27.4741548,153.0784845,Supermarket
800056,CREDIT,Farmer Grocery,Barbara,Farmer,1991-05-13T00:00:00,2018-02-18T00:00:00,LOW,BRISBANE,-27.4681152,153.0517413883948,Grocery
800057,BUSINESS,Campbell Supermarket,William,Campbell,1989-08-05T00:00:00,2019-04-03T00:00:00,LOW,BRISBANE,-27.408692350000003,153.04016440331554,Supermarket
800058,CREDIT,Cox Grocery,Jay,Cox,1984-05-13T00:00:00,2019-02-26T00:00:00,LOW,BRISBANE,-27.444472949263083,153.04171188278653,Grocery
800059,BUSINESS,Rowe Supermarket,Brenda,Rowe,1960-03-24T00:00:00,2019-09-06T00:00:00,MEDIUM,BRISBANE,-27.4201514,153.0043618,Supermarket
800060,CREDIT,Johnson Supermarket,Shannon,Johnson,1990-11-30T00:00:00,2018-11-18T00:00:00,LOW,BRISBANE,-27.5380381,152.9599442,Supermarket
800061,BUSINESS,Miller Supermarket,Charles,Miller,1984-02-14T00:00:00,2018-02-21T00:00:00,LOW,BRISBANE,-27.4281304,153.0675800636463,Supermarket
800062,CREDIT,Jackson Grocery,Corey,Jackson,1979-07-20T00:00:00,2017-08-10T00:00:00,HIGH,BRISBANE,-27.472083526931957,152.95847055816137,Grocery
800063,BUSINESS,Bates Grocery,Nicole,Bates,1977-12-30T00:00:00,2015-06-18T00:00:00,LOW,BRISBANE,-27.5052151,153.0586321,Grocery
800064,CREDIT,Roberson Supermarket,Sonya,Roberson,1988-06-20T00:00:00,2019-12-20T00:00:00,LOW,BRISBANE,-27.5260258,153.05810403398658,Supermarket
800065,BUSINESS,Beck Supermarket,Russell,Beck,1976-12-07T00:00:00,2018-12-15T00:00:00,MEDIUM,BRISBANE,-27.5327672,153.0509602,Supermarket
800066,CREDIT,Chang Supermarket,Steven,Chang,1965-05-29T00:00:00,2017-05-30T00:00:00,LOW,BRISBANE,-27.5176182,153.0504918,Supermarket
800067,CREDIT,Johnson Grocery,Holly,Johnson,1979-04-10T00:00:00,2015-10-27T00:00:00,MEDIUM,BRISBANE,-27.529269,152.9632075,Grocery
800068,BUSINESS,Hull Grocery,Jason,Hull,1969-11-30T00:00:00,2015-01-08T00:00:00,LOW,BRISBANE,-27.4592231,152.9551173,Grocery
800069,CREDIT,Parsons Grocery,Cameron,Parsons,1957-12-20T00:00:00,2015-09-07T00:00:00,LOW,BRISBANE,-27.396782585828518,153.0994767236689,Grocery
800070,CREDIT,Arroyo Grocery,Emily,Arroyo,1978-08-03T00:00:00,2015-01-02T00:00:00,LOW,BRISBANE,-27.4713174,153.0755431,Grocery
800071,CREDIT,Manning Grocery,Jose,Manning,1984-01-24T00:00:00,2018-01-07T00:00:00,MEDIUM,BRISBANE,-27.4612396,153.0678936,Grocery
800072,CREDIT,Holmes Supermarket,Rachel,Holmes,1970-08-30T00:00:00,2017-04-17T00:00:00,LOW,BRISBANE,-27.5326281,153.0140723,Supermarket
800073,BUSINESS,Bennett Grocery,Joseph,Bennett,1980-11-29T00:00:00,2016-04-26T00:00:00,MEDIUM,BRISBANE,-27.4617235,153.0711765,Grocery
800074,BUSINESS,Ross Supermarket,Denise,Ross,1986-05-20T00:00:00,2014-09-03T00:00:00,LOW,BRISBANE,-27.4342465,153.0720339,Supermarket
800075,BUSINESS,Fowler Supermarket,Roberto,Fowler,1987-06-27T00:00:00,2018-08-25T00:00:00,LOW,BRISBANE,-27.5186715,153.0681962,Supermarket
800076,BUSINESS,Wright Supermarket,John,Wright,1972-12-08T00:00:00,2015-05-18T00:00:00,LOW,BRISBANE,-27.4630447,153.099421,Supermarket
800077,BUSINESS,Henry Supermarket,Cody,Henry,1981-12-25T00:00:00,2019-08-19T00:00:00,LOW,BRISBANE,-27.4125568,153.0278963,Supermarket
800078,CREDIT,Smith Grocery,Courtney,Smith,1967-08-17T00:00:00,2014-11-19T00:00:00,LOW,BRISBANE,-27.4340016,153.0195275,Grocery
800079,CREDIT,French Grocery,Ashley,French,1990-06-16T00:00:00,2019-06-23T00:00:00,LOW,BRISBANE,-27.5246186,152.9816303,Grocery
800080,CREDIT,Brown Grocery,Jay,Brown,1977-09-25T00:00:00,2018-02-05T00:00:00,LOW,BRISBANE,-27.4324103,153.0262677,Grocery
800081,CREDIT,Green Grocery,Tina,Green,1986-11-01T00:00:00,2017-01-05T00:00:00,LOW,BRISBANE,-27.538737,152.9573742,Grocery
800082,CREDIT,Wallace Supermarket,Amy,Wallace,1975-11-10T00:00:00,2016-04-07T00:00:00,LOW,BRISBANE,-27.505807354919032,153.04210839238567,Supermarket
800083,CREDIT,Cohen Grocery,Michael,Cohen,1983-08-26T00:00:00,2017-09-03T00:00:00,LOW,BRISBANE,-27.430941586167222,152.96043458865717,Grocery
800084,CREDIT,Duncan Grocery,John,Duncan,1960-05-07T00:00:00,2017-07-28T00:00:00,MEDIUM,BRISBANE,-27.445764230281572,153.03374313033885,Grocery
800085,CREDIT,Carlson Supermarket,Michael,Carlson,1967-11-19T00:00:00,2016-10-01T00:00:00,LOW,BRISBANE,-27.4849201,153.0652873,Supermarket
800086,CREDIT,Ramos Supermarket,David,Ramos,1974-12-01T00:00:00,2018-08-10T00:00:00,LOW,BRISBANE,-27.4179931,153.0192397,Supermarket
800087,BUSINESS,Jacobson Supermarket,Anne,Jacobson,1982-09-06T00:00:00,2017-11-08T00:00:00,MEDIUM,BRISBANE,-27.39921545,153.08354914693112,Supermarket
800088,CREDIT,Pacheco Supermarket,Brandon,Pacheco,1979-03-13T00:00:00,2019-02-08T00:00:00,LOW,BRISBANE,-27.481203899999997,153.0070178770157,Supermarket
800089,BUSINESS,Blair Grocery,Tiffany,Blair,1975-02-27T00:00:00,2015-12-06T00:00:00,LOW,BRISBANE,-27.479971892873063,152.95529432512856,Grocery
800090,BUSINESS,Garcia Grocery,Samuel,Garcia,1958-02-22T00:00:00,2017-06-04T00:00:00,LOW,BRISBANE,-27.4728408,152.9731067,Grocery
800091,BUSINESS,Sharp Supermarket,Elizabeth,Sharp,1992-06-20T00:00:00,2015-10-01T00:00:00,LOW,BRISBANE,-27.5137691,153.025468,Supermarket
800092,BUSINESS,King Supermarket,Rose,King,1991-08-21T00:00:00,2016-08-07T00:00:00,LOW,BRISBANE,-27.5103618,153.046271,Supermarket
800093,BUSINESS,Wilkins Supermarket,Karen,Wilkins,1978-06-11T00:00:00,2015-09-26T00:00:00,LOW,BRISBANE,-27.45187915,153.03408394766328,Supermarket
800094,BUSINESS,Bush Grocery,Lisa,Bush,1992-01-20T00:00:00,2014-10-20T00:00:00,LOW,BRISBANE,-27.4978451,153.02233622601887,Grocery
800095,CREDIT,Anderson Grocery,Jeffrey,Anderson,1962-05-10T00:00:00,2017-06-22T00:00:00,LOW,BRISBANE,-27.51075065,153.08378817746367,Grocery
800096,BUSINESS,Chen Grocery,Holly,Chen,1983-04-27T00:00:00,2019-03-29T00:00:00,HIGH,BRISBANE,-27.5106896,152.9740547,Grocery
800097,BUSINESS,Mccoy Grocery,Madison,Mccoy,1972-11-18T00:00:00,2019-12-23T00:00:00,LOW,BRISBANE,-27.472769149999998,152.99940035,Grocery
800098,BUSINESS,Robinson Grocery,Sandy,Robinson,1965-09-02T00:00:00,2016-06-22T00:00:00,LOW,BRISBANE,-27.53549155,153.002460295412,Grocery
800099,BUSINESS,Cook Grocery,Scott,Cook,1980-07-18T00:00:00,2014-10-26T00:00:00,MEDIUM,BRISBANE,-27.4662653,153.0939497,Grocery
800100,CREDIT,Harris Cafe,Melissa,Harris,1981-04-06T00:00:00,2016-07-08T00:00:00,LOW,BRISBANE,-27.4030561,152.992172,Cafe
800101,CREDIT,Oliver Bakery,Jamie,Oliver,1959-12-20T00:00:00,2016-01-31T00:00:00,LOW,BRISBANE,-27.4977365,153.0609038,Bakery
800102,CREDIT,Smith Bakery,Brittney,Smith,1958-12-12T00:00:00,2014-09-19T00:00:00,LOW,BRISBANE,-27.5026408,152.9909427,Bakery
800103,BUSINESS,Wilcox Cafe,Kyle,Wilcox,1963-09-20T00:00:00,2018-09-14T00:00:00,LOW,BRISBANE,-27.4601994,152.9744827,Cafe
800104,BUSINESS,Hall Cafe,David,Hall,1977-04-24T00:00:00,2015-04-08T00:00:00,MEDIUM,BRISBANE,-27.4792931,152.9678656,Cafe
800105,BUSINESS,Cervantes Cafe,Karen,Cervantes,1978-09-09T00:00:00,2018-09-06T00:00:00,LOW,BRISBANE,-27.4378894,152.9650979,Cafe
800106,BUSINESS,Clark Bakery,Ralph,Clark,1988-07-09T00:00:00,2016-06-27T00:00:00,MEDIUM,BRISBANE,-27.51395,152.9724433,Bakery
800107,CREDIT,Perkins Bakery,James,Perkins,1990-11-16T00:00:00,2016-05-28T00:00:00,MEDIUM,BRISBANE,-27.524756982609368,152.99535204947196,Bakery
800108,BUSINESS,Freeman Bakery,Angela,Freeman,1972-10-26T00:00:00,2015-06-07T00:00:00,LOW,BRISBANE,-27.5079354,153.0463803,Bakery
800109,CREDIT,Aguilar Bakery,Kathleen,Aguilar,1985-12-13T00:00:00,2016-10-05T00:00:00,LOW,BRISBANE,-27.397334,153.0098932,Bakery
800110,BUSINESS,Gallegos Cafe,Charles,Gallegos,1971-03-08T00:00:00,2016-03-15T00:00:00,MEDIUM,BRISBANE,-27.39489620282225,152.95460068076815,Cafe
800111,BUSINESS,Johnson Cafe,Johnny,Johnson,1992-05-17T00:00:00,2015-02-14T00:00:00,LOW,BRISBANE,-27.441622997007507,152.98591292262216,Cafe
800112,CREDIT,Hernandez Bakery,Maureen,Hernandez,1975-06-12T00:00:00,2017-01-26T00:00:00,LOW,BRISBANE,-27.4596568,152.995383,Bakery
800113,BUSINESS,Barker Cafe,Juan,Barker,1970-05-11T00:00:00,2018-11-15T00:00:00,LOW,BRISBANE,-27.5366145,153.0499268,Cafe
800114,BUSINESS,Barnes Cafe,Paula,Barnes,1968-01-29T00:00:00,2019-03-28T00:00:00,LOW,BRISBANE,-27.4807464,152.9784428,Cafe
800115,BUSINESS,Caldwell Cafe,Steven,Caldwell,1963-04-11T00:00:00,2015-05-24T00:00:00,LOW,BRISBANE,-27.479791,152.9538359,Cafe
800116,BUSINESS,Baker Bakery,William,Baker,1981-03-11T00:00:00,2018-01-25T00:00:00,LOW,BRISBANE,-27.4207562,153.0599086,Bakery
800157,BUSINESS,Chen Cafe,Aimee,Chen,1973-01-25T00:00:00,2018-04-12T00:00:00,MEDIUM,BRISBANE,-27.41542040341002,153.00016510667,Cafe
800158,BUSINESS,Green Cafe,Chad,Green,1960-07-20T00:00:00,2019-12-02T00:00:00,LOW,BRISBANE,-27.478559809860126,152.96306252870315,Cafe
800159,BUSINESS,Young Bakery,Daniel,Young,1958-06-02T00:00:00,2015-06-22T00:00:00,LOW,BRISBANE,-27.5357964,152.9781547,Bakery
800160,CREDIT,Forbes Cafe,Brianna,Forbes,1962-09-15T00:00:00,2017-12-15T00:00:00,HIGH,BRISBANE,-27.4416815,153.09143213828094,Cafe
800161,CREDIT,Wood Bakery,Valerie,Wood,1964-12-14T00:00:00,2015-04-10T00:00:00,LOW,BRISBANE,-27.523796,153.0156246,Bakery
800162,CREDIT,Zuniga Bakery,Sandra,Zuniga,1987-08-30T00:00:00,2019-07-18T00:00:00,LOW,BRISBANE,-27.49741805,153.01316955983583,Bakery
800163,CREDIT,Jones Cafe,Kelly,Jones,1965-05-05T00:00:00,2016-04-17T00:00:00,LOW,BRISBANE,-27.4581248,153.0671331,Cafe
800164,BUSINESS,Hunter Bakery,Nicole,Hunter,1988-03-15T00:00:00,2016-07-15T00:00:00,LOW,BRISBANE,-27.5328246,152.9935319,Bakery
800165,BUSINESS,Keller Bakery,Dustin,Keller,1983-12-16T00:00:00,2014-09-28T00:00:00,LOW,BRISBANE,-27.4800418,153.0415061,Bakery
800166,BUSINESS,Townsend Bakery,Christopher,Townsend,1969-12-23T00:00:00,2016-04-24T00:00:00,LOW,BRISBANE,-27.44838515,153.00919707929245,Bakery
800167,CREDIT,Anderson Bakery,Heather,Anderson,1962-09-16T00:00:00,2018-12-05T00:00:00,LOW,BRISBANE,-27.4626765,153.000482,Bakery
800168,CREDIT,Cole Cafe,Samuel,Cole,1979-08-30T00:00:00,2017-09-28T00:00:00,LOW,BRISBANE,-27.4641895,152.9970936,Cafe
800169,CREDIT,Roberts Bakery,Joshua,Roberts,1966-01-09T00:00:00,2016-01-24T00:00:00,LOW,BRISBANE,-27.4262979,153.07611625529256,Bakery
800170,BUSINESS,Campbell Cafe,James,Campbell,1984-06-23T00:00:00,2018-08-04T00:00:00,HIGH,BRISBANE,-27.3986179,153.0264223,Cafe
800171,CREDIT,Wood Cafe,Lori,Wood,1964-03-05T00:00:00,2016-11-29T00:00:00,LOW,BRISBANE,-27.4976066,152.9946333,Cafe
800172,CREDIT,May Cafe,Nicholas,May,1991-09-30T00:00:00,2015-04-21T00:00:00,LOW,BRISBANE,-27.437220900805656,153.0969072205212,Cafe
800173,CREDIT,Thomas Bakery,Jennifer,Thomas,1957-12-23T00:00:00,2015-08-28T00:00:00,LOW,BRISBANE,-27.4974343,153.0617395,Bakery
800174,BUSINESS,Perez Bakery,Grace,Perez,1973-10-18T00:00:00,2015-09-13T00:00:00,LOW,BRISBANE,-27.5034762,153.0597949,Bakery
800175,CREDIT,White Cafe,Angela,White,1974-03-03T00:00:00,2018-07-01T00:00:00,MEDIUM,BRISBANE,-27.4079737,153.0086955,Cafe
800176,BUSINESS,Williamson Bakery,Kyle,Williamson,1969-04-25T00:00:00,2018-03-04T00:00:00,MEDIUM,BRISBANE,-27.487184550000002,152.99677606095105,Bakery
800177,BUSINESS,Yates Bakery,Thomas,Yates,1991-09-01T00:00:00,2017-09-21T00:00:00,MEDIUM,BRISBANE,-27.5038019,153.0465657,Bakery
800178,BUSINESS,Smith Bakery,Matthew,Smith,1988-06-04T00:00:00,2014-12-26T00:00:00,LOW,BRISBANE,-27.4398453,153.0158737,Bakery
800179,CREDIT,Russell Cafe,William,Russell,1981-09-03T00:00:00,2017-07-07T00:00:00,LOW,BRISBANE,-27.4945794,153.1001336,Cafe
800180,CREDIT,Gray Cafe,Stacey,Gray,1975-08-02T00:00:00,2018-01-14T00:00:00,MEDIUM,BRISBANE,-27.4879001,153.0973084,Cafe
800181,BUSINESS,English Bakery,Seth,English,1984-05-23T00:00:00,2019-02-03T00:00:00,MEDIUM,BRISBANE,-27.41535245,153.06751349822696,Bakery
800182,CREDIT,Wade Bakery,Kevin,Wade,1960-02-24T00:00:00,2017-03-21T00:00:00,MEDIUM,BRISBANE,-27.4997986,153.0805083,Bakery
800183,CREDIT,Scott Cafe,Morgan,Scott,1965-10-03T00:00:00,2017-03-30T00:00:00,LOW,BRISBANE,-27.5262735,153.0971843,Cafe
800184,BUSINESS,Acosta Cafe,James,Acosta,1981-02-05T00:00:00,2015-04-24T00:00:00,MEDIUM,BRISBANE,-27.40740833741803,153.09818387716996,Cafe
800185,CREDIT,Villegas Bakery,Christina,Villegas,1963-11-26T00:00:00,2017-11-28T00:00:00,LOW,BRISBANE,-27.4101705,153.0277169,Bakery
800186,CREDIT,Prince Bakery,Michael,Prince,1958-04-01T00:00:00,2015-08-18T00:00:00,LOW,BRISBANE,-27.49362855,153.0218530333179,Bakery
800187,BUSINESS,Miller Bakery,Lauren,Miller,1974-05-20T00:00:00,2015-05-31T00:00:00,LOW,BRISBANE,-27.3952928,153.0655802,Bakery
800188,CREDIT,Shaffer Cafe,Stephanie,Shaffer,1968-10-21T00:00:00,2015-04-17T00:00:00,LOW,BRISBANE,-27.440392850000002,153.01262005394284,Cafe
800189,CREDIT,Barker Bakery,John,Barker,1984-08-14T00:00:00,2017-03-27T00:00:00,MEDIUM,BRISBANE,-27.54232865,153.05356335778407,Bakery
800190,CREDIT,Hebert Bakery,Amy,Hebert,1988-10-29T00:00:00,2019-04-18T00:00:00,LOW,BRISBANE,-27.5275827,153.102774,Bakery
800191,CREDIT,Pearson Cafe,Amber,Pearson,1967-12-31T00:00:00,2017-10-04T00:00:00,LOW,BRISBANE,-27.40245,153.0379481,Cafe
800192,BUSINESS,Pierce Cafe,Sylvia,Pierce,1967-03-05T00:00:00,2016-09-09T00:00:00,LOW,BRISBANE,-27.4790789,153.02010183639243,Cafe
800193,BUSINESS,Faulkner Cafe,Raymond,Faulkner,1967-07-09T00:00:00,2019-05-11T00:00:00,MEDIUM,BRISBANE,-27.48025275,152.99297929978195,Cafe
800194,CREDIT,Zavala Bakery,Janet,Zavala,1965-10-09T00:00:00,2016-04-01T00:00:00,LOW,BRISBANE,-27.4923532,153.0667357,Bakery
800195,CREDIT,Pineda Cafe,Amanda,Pineda,1969-08-02T00:00:00,2016-03-29T00:00:00,LOW,BRISBANE,-27.4009595,152.9605107704043,Cafe
800196,CREDIT,Hill Cafe,Daniel,Hill,1968-09-01T00:00:00,2017-11-18T00:00:00,LOW,BRISBANE,-27.4983274,153.0726133,Cafe
800197,BUSINESS,White Bakery,Marc,White,1965-02-03T00:00:00,2016-07-05T00:00:00,LOW,BRISBANE,-27.4347819,153.0187251,Bakery
800117,CREDIT,Costa Cafe,Walter,Costa,1960-04-11T00:00:00,2015-06-27T00:00:00,MEDIUM,BRISBANE,-27.5320287,153.0906097,Cafe
800118,CREDIT,Goodman Bakery,Olivia,Goodman,1960-08-18T00:00:00,2019-07-04T00:00:00,MEDIUM,BRISBANE,-27.4653394,153.0481003,Bakery
800119,BUSINESS,Russell Bakery,Emily,Russell,1988-03-22T00:00:00,2017-11-26T00:00:00,MEDIUM,BRISBANE,-27.50593275,152.99622996650407,Bakery
800120,BUSINESS,Murphy Bakery,Steven,Murphy,1968-08-24T00:00:00,2017-05-18T00:00:00,LOW,BRISBANE,-27.54185617831149,153.07742717920902,Bakery
800121,BUSINESS,Williams Bakery,Ian,Williams,1968-12-05T00:00:00,2014-12-26T00:00:00,LOW,BRISBANE,-27.452280595108107,152.97295775516017,Bakery
800122,BUSINESS,Meyer Bakery,Katrina,Meyer,1991-01-04T00:00:00,2016-06-01T00:00:00,LOW,BRISBANE,-27.4439158,153.085515,Bakery
800123,CREDIT,Schmitt Bakery,Brittany,Schmitt,1960-01-17T00:00:00,2016-04-23T00:00:00,LOW,BRISBANE,-27.5160804,152.9636993,Bakery
800124,CREDIT,Bailey Bakery,Henry,Bailey,1959-04-25T00:00:00,2017-12-03T00:00:00,LOW,BRISBANE,-27.5302171,153.0618339,Bakery
800125,BUSINESS,Cannon Bakery,Gerald,Cannon,1971-09-14T00:00:00,2019-08-06T00:00:00,LOW,BRISBANE,-27.4238942,153.0578549,Bakery
800126,BUSINESS,Fleming Cafe,James,Fleming,1991-03-25T00:00:00,2017-05-19T00:00:00,LOW,BRISBANE,-27.426270711797773,152.97381753911571,Cafe
800127,CREDIT,Martin Cafe,Katherine,Martin,1987-04-17T00:00:00,2017-04-03T00:00:00,LOW,BRISBANE,-27.5350286,152.9561033,Cafe
800128,CREDIT,Kelly Bakery,Tanya,Kelly,1989-09-28T00:00:00,2015-12-11T00:00:00,LOW,BRISBANE,-27.4023778,153.068065,Bakery
800129,BUSINESS,Castaneda Bakery,Jeanne,Castaneda,1961-08-02T00:00:00,2016-09-16T00:00:00,LOW,BRISBANE,-27.428397349999997,153.06221525238715,Bakery
800130,BUSINESS,Dunlap Cafe,Patrick,Dunlap,1991-10-08T00:00:00,2019-10-04T00:00:00,LOW,BRISBANE,-27.4398513,153.0748865,Cafe
800131,CREDIT,Reynolds Cafe,Julie,Reynolds,1960-01-06T00:00:00,2017-10-15T00:00:00,LOW,BRISBANE,-27.3945579,153.0155803,Cafe
800132,CREDIT,Diaz Cafe,Brian,Diaz,1958-05-10T00:00:00,2018-05-17T00:00:00,LOW,BRISBANE,-27.4906168,153.08579774376392,Cafe
800133,BUSINESS,Clark Cafe,Kyle,Clark,1967-12-16T00:00:00,2016-03-31T00:00:00,LOW,BRISBANE,-27.4857197,153.0459199,Cafe
800134,BUSINESS,Stokes Cafe,Juan,Stokes,1960-07-15T00:00:00,2017-09-10T00:00:00,HIGH,BRISBANE,-27.5307184,152.9814316,Cafe
800135,CREDIT,Smith Cafe,Connie,Smith,1980-05-02T00:00:00,2016-01-28T00:00:00,MEDIUM,BRISBANE,-27.49566427534389,153.03900603297134,Cafe
800136,CREDIT,Cooper Cafe,Benjamin,Cooper,1957-09-30T00:00:00,2017-10-11T00:00:00,LOW,BRISBANE,-27.443253,153.063814,Cafe
800137,BUSINESS,George Bakery,Evan,George,1958-05-30T00:00:00,2019-01-12T00:00:00,LOW,BRISBANE,-27.4646593,152.9746065,Bakery
800138,BUSINESS,Johnson Bakery,Rebecca,Johnson,1972-12-26T00:00:00,2017-09-22T00:00:00,LOW,BRISBANE,-27.4220714,153.0710183,Bakery
800139,BUSINESS,Clark Bakery,Shawn,Clark,1974-05-01T00:00:00,2016-03-17T00:00:00,MEDIUM,BRISBANE,-27.5061471,153.0461488,Bakery
800140,BUSINESS,Diaz Bakery,Paul,Diaz,1969-03-17T00:00:00,2017-02-05T00:00:00,LOW,BRISBANE,-27.40096115,153.0752596802664,Bakery
800141,BUSINESS,Mann Bakery,Michael,Mann,1965-05-08T00:00:00,2016-08-21T00:00:00,LOW,BRISBANE,-27.5389947,152.9841779,Bakery
800142,CREDIT,Rodgers Bakery,Anthony,Rodgers,1972-03-20T00:00:00,2020-02-12T00:00:00,LOW,BRISBANE,-27.4281304,153.0675800636463,Bakery
800143,BUSINESS,Hill Bakery,Julie,Hill,1986-06-04T00:00:00,2017-10-26T00:00:00,LOW,BRISBANE,-27.4245152,153.0342892,Bakery
800144,CREDIT,Miller Cafe,Bruce,Miller,1960-10-28T00:00:00,2015-09-01T00:00:00,LOW,BRISBANE,-27.4050681,152.9759037,Cafe
800145,CREDIT,Wright Bakery,Cheryl,Wright,1985-04-29T00:00:00,2016-06-23T00:00:00,MEDIUM,BRISBANE,-27.4376845,153.04180741445026,Bakery
800146,BUSINESS,Jones Bakery,Lisa,Jones,1977-12-19T00:00:00,2019-08-03T00:00:00,MEDIUM,BRISBANE,-27.532645199999997,153.00753831250208,Bakery
800147,CREDIT,Hatfield Cafe,Ryan,Hatfield,1963-09-25T00:00:00,2014-10-15T00:00:00,MEDIUM,BRISBANE,-27.432651723464197,153.08448115575413,Cafe
800148,BUSINESS,Hurst Bakery,David,Hurst,1975-09-05T00:00:00,2015-11-12T00:00:00,LOW,BRISBANE,-27.41659031154624,153.00195176600315,Bakery
800149,BUSINESS,Brown Cafe,Christopher,Brown,1980-01-15T00:00:00,2015-02-25T00:00:00,LOW,BRISBANE,-27.43022135,152.96647983567703,Cafe
800150,CREDIT,Gutierrez Cafe,Steven,Gutierrez,1960-04-26T00:00:00,2014-11-08T00:00:00,LOW,BRISBANE,-27.443253,153.063814,Cafe
800151,CREDIT,Shannon Bakery,Patrick,Shannon,1981-07-28T00:00:00,2015-06-24T00:00:00,LOW,BRISBANE,-27.5297636,153.102951,Bakery
800152,CREDIT,Rodriguez Bakery,Melvin,Rodriguez,1983-10-17T00:00:00,2018-04-01T00:00:00,LOW,BRISBANE,-27.4736276,152.9550888,Bakery
800153,CREDIT,Molina Cafe,Brittany,Molina,1979-06-07T00:00:00,2018-09-11T00:00:00,LOW,BRISBANE,-27.4924252,153.0891865,Cafe
800154,BUSINESS,Murphy Cafe,Edward,Murphy,1971-07-13T00:00:00,2017-02-20T00:00:00,LOW,BRISBANE,-27.5026929,153.03268472302642,Cafe
800155,BUSINESS,Sanchez Bakery,Nicholas,Sanchez,1978-03-12T00:00:00,2016-11-28T00:00:00,LOW,BRISBANE,-27.4158643,153.0633927,Bakery
800156,BUSINESS,Lee Cafe,Penny,Lee,1982-01-15T00:00:00,2015-07-28T00:00:00,LOW,BRISBANE,-27.47602545,153.03017420411933,Cafe
800000,CREDIT,Hall Grocery,Rebecca,Hall,1977-01-30T00:00:00,2016-07-25T00:00:00,LOW,BRISBANE,-27.5105995,153.0064909,Grocery
800001,CREDIT,Sanchez Supermarket,Hunter,Sanchez,1972-05-08T00:00:00,2017-10-01T00:00:00,LOW,BRISBANE,-27.5164527,153.0550518,Supermarket
800002,CREDIT,Nelson Supermarket,Alexandria,Nelson,1990-01-21T00:00:00,2017-09-03T00:00:00,MEDIUM,BRISBANE,-27.4297641,152.9901233,Supermarket
800003,BUSINESS,Smith Grocery,Donna,Smith,1962-03-20T00:00:00,2015-12-04T00:00:00,LOW,BRISBANE,-27.5225066,153.0739008,Grocery
